apellidos,nombre,dni,fechaNac,grupo
García López,Ana,10000001A,2002-05-20,101
Martínez Ruiz,Luis,10000002B,2001-11-15,101
Fernández Díaz,Sofía,10000003C,2002-02-10,102
Sánchez Romero,Pedro,10000004D,2001-08-30,102
Pérez Gómez,Lucía,10000005E,2003-01-05,101
González Torres,Javier,10000006F,2000-12-12,201
Rodríguez Vázquez,Elena,10000007G,2000-07-22,201
López Serrano,Carlos,10000008H,1999-03-14,202
Ramírez Castillo,Marta,10000009I,2001-09-09,102
Torres Gil,Daniel,10000010J,2002-06-18,101
Ruiz Herrera,Laura,10000011K,2000-11-01,202
Díaz Marín,Jorge,10000012L,1998-05-25,301
Muñoz Ibáñez,Carmen,10000013M,1999-10-10,201
Serrano Garrido,Pablo,10000014N,2001-04-04,102
Garrido Castro,Raquel,10000015O,1998-01-20,301
Castro Ortiz,Alejandro,10000016P,2002-12-30,101
Ortiz Rubio,Beatriz,10000017Q,2000-08-15,202
Rubio Molina,Sergio,10000018R,1999-02-28,301
Molina Gil,Patricia,10000019S,2003-03-15,101
Gil Vega,Andrés,10000020T,2001-07-07,102
